Type,Entry Date,Entry Price,Exit Date,Exit Price,PnL,Cumulative_PnL
SELL,2025-06-19 15:15:00+05:30,1427.800049,2025-06-20 09:15:00+05:30,1447.800049,-2000,17054.94385
BUY,2025-06-20 09:15:00+05:30,1447.800049,2025-07-09 15:15:00+05:30,1519,7119.995117,24174.93896
SELL,2025-07-09 15:15:00+05:30,1519,2025-07-29 15:15:00+05:30,1417.099976,10190.00244,34364.94141
BUY,2025-07-29 15:15:00+05:30,1417.099976,2025-07-31 10:15:00+05:30,1392.900024,-2419.995117,31944.94629
SELL,2025-07-31 10:15:00+05:30,1392.900024,2025-08-04 10:15:00+05:30,1413.300049,-2040.002441,29904.94385
BUY,2025-08-04 10:15:00+05:30,1413.300049,2025-08-05 11:15:00+05:30,1396.400024,-1690.002441,28214.94141
SELL,2025-08-05 11:15:00+05:30,1396.400024,2025-08-12 09:15:00+05:30,1397.199951,-79.99267578,28134.94873
BUY,2025-08-12 09:15:00+05:30,1397.199951,2025-08-14 09:15:00+05:30,1374.900024,-2229.992676,25904.95605
SELL,2025-08-14 09:15:00+05:30,1374.900024,2025-08-18 12:15:00+05:30,1385.400024,-1050,24854.95605
BUY,2025-08-18 12:15:00+05:30,1385.400024,2025-08-22 15:15:00+05:30,1410,2459.997559,27314.95361
SELL,2025-08-22 15:15:00+05:30,1410,2025-09-05 13:15:00+05:30,1374.699951,3530.004883,30844.9585
BUY,2025-09-05 13:15:00+05:30,1374.699951,2025-09-22 11:15:00+05:30,1404.199951,2950,33794.9585
SELL,2025-09-22 11:15:00+05:30,1404.199951,2025-10-06 14:15:00+05:30,1374.400024,2979.992676,36774.95117
BUY,2025-10-06 14:15:00+05:30,1374.400024,2025-10-08 13:15:00+05:30,1369,-540.0024414,36234.94873
SELL,2025-10-08 13:15:00+05:30,1369,2025-10-09 13:15:00+05:30,1377.099976,-809.9975586,35424.95117
BUY,2025-10-09 13:15:00+05:30,1377.099976,2025-10-13 10:15:00+05:30,1369.800049,-729.9926758,34694.9585
SELL,2025-10-13 10:15:00+05:30,1369.800049,2025-10-14 10:15:00+05:30,1380.699951,-1089.990234,33604.96826
BUY,2025-10-14 10:15:00+05:30,1380.699951,2025-10-14 12:15:00+05:30,1373.5,-719.9951172,32884.97314
SELL,2025-10-14 12:15:00+05:30,1373.5,2025-10-15 12:15:00+05:30,1378,-450,32434.97314
BUY,2025-10-15 12:15:00+05:30,1378,2025-10-15 13:15:00+05:30,1374.699951,-330.0048828,32104.96826
SELL,2025-10-15 13:15:00+05:30,1374.699951,2025-10-16 10:15:00+05:30,1377.900024,-320.0073242,31784.96094
BUY,2025-10-16 10:15:00+05:30,1377.900024,2025-10-31 14:15:00+05:30,1486.400024,10850,42634.96094
SELL,2025-10-31 14:15:00+05:30,1486.400024,2025-11-06 11:15:00+05:30,1494.800049,-840.0024414,41794.9585
BUY,2025-11-06 11:15:00+05:30,1494.800049,2025-11-07 13:15:00+05:30,1480,-1480.004883,40314.95361
SELL,2025-11-07 13:15:00+05:30,1480,2025-11-10 11:15:00+05:30,1494.599976,-1459.997559,38854.95605
BUY,2025-11-10 11:15:00+05:30,1494.599976,2025-11-11 10:15:00+05:30,1481.900024,-1269.995117,37584.96094
SELL,2025-11-11 10:15:00+05:30,1481.900024,2025-11-11 14:15:00+05:30,1494,-1209.997559,36374.96338
BUY,2025-11-11 14:15:00+05:30,1494,2025-12-02 10:15:00+05:30,1553.099976,5909.997559,42284.96094
SELL,2025-12-02 10:15:00+05:30,1553.099976,2025-12-11 12:15:00+05:30,1546.400024,669.9951172,42954.95605
BUY,2025-12-11 12:15:00+05:30,1546.400024,2025-12-16 11:15:00+05:30,1543.199951,-320.0073242,42634.94873
SELL,2025-12-16 11:15:00+05:30,1543.199951,2025-12-19 09:15:00+05:30,1564.699951,-2150,40484.94873
BUY,2025-12-19 09:15:00+05:30,1564.699951,2025-12-24 13:15:00+05:30,1559,-569.9951172,39914.95361
SELL,2025-12-24 13:15:00+05:30,1559,2025-12-31 12:15:00+05:30,1572.5,-1350,38564.95361
BUY,2025-12-31 12:15:00+05:30,1572.5,2026-01-06 09:15:00+05:30,1526.199951,-4630.004883,33934.94873
SELL,2026-01-06 09:15:00+05:30,1526.199951,2026-01-16 15:15:00+05:30,1461.199951,6500,40434.94873
